# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "GCF_000203835.1_ASM20383v1_genomic_combined.gtf" "-s" "2" "-O" "-M" "--fraction" "-t" "transcript" "-g" "locus_tag" "--extraAttributes" "gene_name" "-o" "counts.txt" "--minOverlap" "10" "--fracOverlap" "0.9" "QSC18022AV_20220218090211__M512cpz_Tube_1_2d_S4_R1_001.sorted.bam" "QSC18034AK_20220218090211__M512lpm_Tube_1_4d_S16_R1_001.sorted.bam" "QSC18021AN_20220218090211__M512_Tube_3_2d_S3_R1_001.sorted.bam" "QSC18030AM_20220218090211__M512_Tube_3_4d_S12_R1_001.sorted.bam" "QSC18026AT_20220218090211__M512lpm_Tube_2_2d_S8_R1_001.sorted.bam" "QSC18024AD_20220218090211__M512cpz_Tube_3_2d_S6_R1_001.sorted.bam" "QSC18023A5_20220218090211__M512cpz_Tube_2_2d_S5_R1_001.sorted.bam" "QSC18036A2_20220218090212__M512lpm_Tube_3_4d_S18_R1_001.sorted.bam" "QSC18028AB_20220218090211__M512_Tube_1_4d_S10_R1_001.sorted.bam" "QSC18033AC_20220218090211__M512cpz_Tube_3_4d_S15_R1_001.sorted.bam" "QSC18019AC_20220218090011__M512_Tube_1_2d_S1_R1_001.sorted.bam" "QSC18029AJ_20220218090211__M512_Tube_2_4d_S11_R1_001.sorted.bam" "QSC18032A4_20220218090211__M512cpz_Tube_2_4d_S14_R1_001.sorted.bam" "QSC18031AU_20220218090211__M512cpz_Tube_1_4d_S13_R1_001.sorted.bam" "QSC18020AF_20220218090012__M512_Tube_2_2d_S2_R1_001.sorted.bam" "QSC18025AL_20220218090211__M512lpm_Tube_1_2d_S7_R1_001.sorted.bam" "QSC18027A3_20220218090211__M512lpm_Tube_3_2d_S9_R1_001.sorted.bam" "QSC18035AS_20220218090211__M512lpm_Tube_2_4d_S17_R1_001.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	gene_name	QSC18022AV_20220218090211__M512cpz_Tube_1_2d_S4_R1_001.sorted.bam	QSC18034AK_20220218090211__M512lpm_Tube_1_4d_S16_R1_001.sorted.bam	QSC18021AN_20220218090211__M512_Tube_3_2d_S3_R1_001.sorted.bam	QSC18030AM_20220218090211__M512_Tube_3_4d_S12_R1_001.sorted.bam	QSC18026AT_20220218090211__M512lpm_Tube_2_2d_S8_R1_001.sorted.bam	QSC18024AD_20220218090211__M512cpz_Tube_3_2d_S6_R1_001.sorted.bam	QSC18023A5_20220218090211__M512cpz_Tube_2_2d_S5_R1_001.sorted.bam	QSC18036A2_20220218090212__M512lpm_Tube_3_4d_S18_R1_001.sorted.bam	QSC18028AB_20220218090211__M512_Tube_1_4d_S10_R1_001.sorted.bam	QSC18033AC_20220218090211__M512cpz_Tube_3_4d_S15_R1_001.sorted.bam	QSC18019AC_20220218090011__M512_Tube_1_2d_S1_R1_001.sorted.bam	QSC18029AJ_20220218090211__M512_Tube_2_4d_S11_R1_001.sorted.bam	QSC18032A4_20220218090211__M512cpz_Tube_2_4d_S14_R1_001.sorted.bam	QSC18031AU_20220218090211__M512cpz_Tube_1_4d_S13_R1_001.sorted.bam	QSC18020AF_20220218090012__M512_Tube_2_2d_S2_R1_001.sorted.bam	QSC18025AL_20220218090211__M512lpm_Tube_1_2d_S7_R1_001.sorted.bam	QSC18027A3_20220218090211__M512lpm_Tube_3_2d_S9_R1_001.sorted.bam	QSC18035AS_20220218090211__M512lpm_Tube_2_4d_S17_R1_001.sorted.bam
SCO0182	NC_003888.3	170656	170880	-	225	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCO0183	NC_003888.3	170911	172158	+	1248	NA	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
SCO0184	NC_003888.3	172170	173984	+	1815	NA	0	0	3	0.50	1	0	0	0	0.50	0	3	2.50	0	0	0	3	0	0
SCO0185	NC_003888.3	173768	174946	+	1179	NA	0	2	0	1.50	0	0	0	0	0.50	0	0	0.50	0	0	0	0	0	0
SCO0186	NC_003888.3	174943	176514	+	1572	NA	0	0	0	0	0	0	0	3	9	0	4	3	0	0	0	0	0	0
SCO0187	NC_003888.3	176501	177496	+	996	NA	0	3	1	3	0	0	0	1	2	0	2	4	0	0	0	0	1	0
SCO0188	NC_003888.3	177493	178503	+	1011	NA	0	4	1	4	0	0	0	1	2	0	5	2	0	0	0	1	0	0
SCO0189	NC_003888.3	178519	180087	-	1569	NA	0	2	3	0	2	0	0	2	2	0	6	2	0	0	0	3	0	0
SCO0190	NC_003888.3	180084	180824	-	741	NA	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
SCO0191	NC_003888.3	180821	182038	-	1218	NA	0	2	4	1	0	0	0	7	4	0	1	1	0	0	0	6	1	0
SCO0192	NC_003888.3	182309	183559	-	1251	NA	0	5	1	1	0	0	0	2	1	0	3	0	0	0	2	7	0	0
SCO0193	NC_003888.3	183793	184797	-	1005	NA	0	5	4	4	0	0	0	10	1	0	2	2	0	0	1	13	0	0
SCO0194	NC_003888.3	184958	185566	+	609	NA	0	1	2	4	0	0	0	6	7	0	1	4	0	0	0	2	8	0
SCO0195	NC_003888.3	185675	186361	+	687	NA	0	6	3	3	0	0	0	5	4	0	2	2	0	0	0	7	1	2
SCO0196	NC_003888.3	186483	186887	+	405	NA	0	0	0	2	0	0	0	1	1	0	1	0	0	0	0	3	1	0
SCO0197	NC_003888.3	187019	187459	-	441	NA	0	6	38	3	9	0	0	7	19	0	152	9	0	0	0	36	6	5
SCO0198	NC_003888.3	187992	188858	-	867	NA	0	8	35	3	6	0	0	8	21	0	195	3	0	0	1	111	10	5
SCO0199	NC_003888.3	188864	189886	-	1023	NA	0	4	28	2	8	0	0	1	54	0	350	2	0	0	0	203	7	10
SCO0200	NC_003888.3	189925	190830	-	906	NA	0	1	90	1	6	0	0	6	141	0	691	2	0	0	0	368	24	20
SCO0201	NC_003888.3	190983	191654	-	672	NA	0	6	115	4	14	0	0	2	199	0	1153	1	0	0	1	223	21	67
SCO0202	NC_003888.3	191919	192848	+	930	NA	0	2	4	3	0	0	0	3	0	0	0	0	0	0	0	3	0	0
SCO0203	NC_003888.3	192880	194637	-	1758	NA	0	644	843	289	180	0	0	623	332	0	746	181	0	0	27	2228	419	78
SCO0204	NC_003888.3	194760	195461	-	702	NA	0	7	192	8	31	0	0	33	122	0	337	20	0	0	1	857	83	27
SCO0207	NC_003888.3	196386	196991	-	606	NA	0	0	1	0	0	0	0	0	2	0	2	0	0	0	0	3	0	0
SCO0208	NC_003888.3	197221	199917	+	2697	NA	0	10	102	9	13	0	0	8	139	0	370	6	0	0	0	302	9	34
SCO0209	NC_003888.3	200024	200428	+	405	NA	0	1	89	2	4	0	0	0	47	0	126	3	0	0	0	70	3	6
SCO0210	NC_003888.3	200728	201369	+	642	NA	0	0	16	2	0	0	0	0	20	0	58	0	0	0	0	31	1	5
SCO0211	NC_003888.3	201374	202090	+	717	NA	0	0	20	0	0	0	0	0	8	0	40	0	0	0	0	25	0	0
SCO0212	NC_003888.3	202370	202843	-	474	NA	0	3	50	17	9	0	0	5	38	0	528	5	0	0	0	242	23	26
SCO0213	NC_003888.3	202863	204101	-	1239	NA	0	6	143	3	29	0	0	1	158	0	1188	9	0	0	1	828	28	29
SCO0214	NC_003888.3	204387	204800	+	414	NA	0	11	27	4	4	0	0	18	8	0	40	3	0	0	0	321	18	5
SCO0215	NC_003888.3	204881	205888	-	1008	NA	0	1	24	1	9	0	0	0	32	0	169	0	0	0	0	267	8	2
SCO0216	NC_003888.3	206480	210181	+	3702	NA	0	3	273	3	31	0	0	7	287	0	957	8	0	0	0	1338	25	53
SCO0217	NC_003888.3	210183	211751	+	1569	NA	0	6	57	0	10	0	0	3	53	0	259	2	0	0	0	218	11	8
SCO0218	NC_003888.3	211748	212551	+	804	NA	0	0	0	0	0	0	0	0	1	0	15	0	0	0	0	0	1	0
SCO0219	NC_003888.3	212551	213321	+	771	NA	0	0	11	3	1	0	0	0	17	0	60	0	0	0	0	9	6	2
SCO0220	NC_003888.3	213427	213870	+	444	NA	0	5	7	3	1	0	0	12	8	0	61	5	0	0	0	15	7	5
SCO0222	NC_003888.3	214913	215446	+	534	NA	0	153	225	89	82	0	0	412	125	0	318	65	0	0	19	487	260	45
SCO0223	NC_003888.3	215443	215559	+	117	NA	0	20	29	26	31	0	0	60	29	0	92	18	0	0	8	204	69	2
SCO0224	NC_003888.3	215807	216844	-	1038	NA	0	16	4	5	3	0	0	12	7	0	7	0	0	0	1	9	7	1
SCO0225	NC_003888.3	216834	217268	-	435	NA	0	6	15	1	4	0	0	8	0	0	2	1	0	0	0	5	3	3
SCO0226	NC_003888.3	217315	218019	-	705	NA	0	41	27	5	22	0	0	94	43	0	42	21	0	0	6	49	56	13
SCO0227	NC_003888.3	218418	218780	-	363	NA	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0
SCO0228	NC_003888.3	218973	219059	+	87	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCO0229	NC_003888.3	219302	220150	+	849	NA	0	17	24	11	13	0	0	31	10	0	29	12	0	0	7	59	23	10
SCO0230	NC_003888.3	220150	220764	+	615	NA	0	4	24	5	2	0	0	10	4	0	16	1	0	0	2	18	10	7
SCO0231	NC_003888.3	221092	221247	-	156	NA	0	4	4	0	5	0	0	7	4	0	4	1	0	0	0	10	4	0
SCO0232	NC_003888.3	221414	221599	-	186	NA	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2
SCO0233	NC_003888.3	221699	222538	-	840	NA	0	17	24	9	12	0	0	7	7	0	21	5	0	0	1	56	18	4
SCO0234	NC_003888.3	222827	223288	+	462	NA	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	5	4	0
SCO0235	NC_003888.3	223294	224232	+	939	NA	0	41	57	17	14	0	0	74	30	0	91	14	0	0	3	141	54	4
SCO0236	NC_003888.3	224404	225276	-	873	NA	0	15	29	6	9	0	0	15	12	0	12	3	0	0	1	62	11	4
SCO0237	NC_003888.3	225476	226237	+	762	NA	0	2	7	0	6	0	0	5	2	0	7	1	0	0	0	23	7	1
SCO0238	NC_003888.3	226481	227008	+	528	NA	0	18	38	4	6	0	0	11	11	0	5	1	0	0	0	40	13	0
SCO0239	NC_003888.3	227081	228154	-	1074	NA	0	73	95	25	15	0	0	90	33	0	55	18	0	0	6	105	46	8
SCO0240	NC_003888.3	228714	229649	-	936	NA	0	1	1	4	0	0	0	0	1	0	2	0	0	0	0	6	3	0
SCO0241	NC_003888.3	229995	230669	+	675	NA	0	12	31	5	7	0	0	10	10	0	17	1	0	0	0	39	13	1
SCO0242	NC_003888.3	231022	231465	+	444	NA	0	240	317	136	56	0	0	302	216	0	391	98	0	0	9	1018	217	37
SCO0243	NC_003888.3	231475	231654	+	180	NA	0	17	14	4	1	0	0	15	12	0	22	5	0	0	0	55	21	0
SCO0244	NC_003888.3	232508	233518	+	1011	NA	0	42	102	29	29	0	0	98	34	0	104	28	0	0	7	204	110	15
SCO0245	NC_003888.3	233854	234873	-	1020	NA	0	26	23	5	7	0	0	34	20	0	55	18	0	0	0	81	28	3
SCO0246	NC_003888.3	234870	236207	-	1338	NA	0	76	69	25	21	0	0	97	31	0	120	36	0	0	2	274	69	14
SCO0247	NC_003888.3	236782	237807	+	1026	NA	0	1526	1300	672	300	0	0	1859	804	0	2920	679	0	0	74	4951	1780	179
SCO0248	NC_003888.3	237664	238251	-	588	NA	0	4	4	6	1	0	0	5	2	0	7	1	0	0	3	23	3	0
SCO0249	NC_003888.3	238280	239794	-	1515	NA	0	1	7	2	0	0	0	7	1	0	2	1	0	0	0	22	2	1
SCO0250	NC_003888.3	239858	240523	+	666	NA	0	12	30	7	7	0	0	4	8	0	28	6	0	0	1	44	15	0
SCO0251	NC_003888.3	240559	240843	-	285	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SCO0252	NC_003888.3	240876	242123	-	1248	NA	0	7	15	8	1	0	0	10	3	0	3	2	0	0	1	11	3	3
SCO0253	NC_003888.3	242194	242766	+	573	NA	0	8	5	1	2	0	0	3	6	0	4	5	0	0	4	5	2	0
SCO0254	NC_003888.3	243022	243762	-	741	NA	0	4	7	9	1	0	0	11	4	0	7	3	0	0	1	20	8	0
SCO0255	NC_003888.3	243936	245672	-	1737	NA	0	3	7	2	3	0	0	2	0	0	1	4	0	0	0	1	3	0
SCO0256	NC_003888.3	245986	246783	+	798	NA	0	0	0	0	0	0	0	6	0	0	3	0	0	0	0	6	3	0
SCO0257	NC_003888.3	246868	247869	+	1002	NA	0	9	8	3	4	0	0	4	1	0	8	4	0	0	0	17	10	1
SCO0258	NC_003888.3	247871	248680	+	810	NA	0	0	4	1	0	0	0	3	0	0	2	2	0	0	0	10	0	0
SCO0259	NC_003888.3	248677	249702	+	1026	NA	0	5	7	0	2	0	0	3	0	0	2	2	0	0	0	16	6	0
SCO0260	NC_003888.3	249755	250084	+	330	NA	0	108	143	40	14	0	0	152	51	0	71	46	0	0	9	278	81	21
SCO0261	NC_003888.3	250164	250691	-	528	NA	0	3	21	9	6	0	0	10	3	0	11	1	0	0	0	52	15	0
SCO0262	NC_003888.3	250805	251740	+	936	NA	0	33	52	19	8	0	0	46	14	0	40	18	0	0	4	105	30	4
SCO0263	NC_003888.3	251764	252879	-	1116	NA	0	4	3	3	0	0	0	12	4	0	10	3	0	0	0	6	4	2
SCO0264	NC_003888.3	252946	253398	+	453	NA	0	30	14	4	6	0	0	24	17	0	40	8	0	0	4	73	24	1
SCO0265	NC_003888.3	253499	254290	+	792	NA	0	26	32	8	9	0	0	38	4	0	25	15	0	0	0	53	17	2
SCO0266	NC_003888.3	254332	255309	-	978	NA	0	5	16	1	2	0	0	9	4	0	7	1	0	0	0	17	5	0
SCO0267	NC_003888.3	255311	256087	+	777	NA	0	0	3	0	0	0	0	1	0	0	3	0	0	0	0	2	4	0
SCO0268	NC_003888.3	256281	256442	+	162	NA	0	388	2396	486	521	0	0	975	223	0	1426	271	0	0	319	5787	867	201
SCO0269	NC_003888.3	256526	259687	+	3162	NA	0	61	147	17	19	0	0	115	24	0	88	32	0	0	10	282	22	11
SCO0270	NC_003888.3	259684	261084	+	1401	NA	0	23	40	15	10	0	0	32	3	0	25	10	0	0	0	90	14	4
SCO0271	NC_003888.3	261366	262319	+	954	NA	0	1	2	3	0	0	0	0	1	0	4	0	0	0	0	7	3	0
SCO0272	NC_003888.3	262330	263220	+	891	NA	0	2	2	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0
SCO0273	NC_003888.3	263285	264634	+	1350	NA	0	0	4	2	4	0	0	2	1	0	10	2	0	0	0	19	7	0
SCO0274	NC_003888.3	264764	266263	+	1500	NA	0	0	3	1	0	0	0	3	1	0	3	0	0	0	1	10	1	1
SCO0275	NC_003888.3	266356	267513	+	1158	NA	0	4	6	9	4	0	0	4	1	0	9	2	0	0	1	10	2	4
SCO0276	NC_003888.3	267585	268838	+	1254	NA	0	3	1	1	0	0	0	3	5	0	13	1	0	0	0	26	1	0
SCO0277	NC_003888.3	269020	269688	-	669	NA	0	112	164	42	41	0	0	192	95	0	173	55	0	0	13	420	149	30
SCO0278	NC_003888.3	269783	270397	+	615	NA	0	8	7	2	4	0	0	21	10	0	6	6	0	0	0	20	10	4
SCO0279	NC_003888.3	270477	271748	+	1272	NA	0	34	34	15	7	0	0	33	13	0	52	10	0	0	2	110	39	4
SCO0280	NC_003888.3	271768	272469	-	702	NA	0	6	0	1	0	0	0	0	0	0	1	1	0	0	0	3	2	0
SCO0281	NC_003888.3	272466	272834	-	369	NA	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCO0282	NC_003888.3	272892	273656	+	765	NA	0	9	15	11	0	0	0	14	7	0	8	4	0	0	1	18	13	3
SCO0283	NC_003888.3	274101	274595	-	495	NA	0	1	3	2	0	0	0	1	0	0	0	0	0	0	1	1	1	0
SCO0284	NC_003888.3	274763	276805	+	2043	NA	0	6	32	2	8	0	0	16	4	0	21	6	0	0	1	83	20	0
SCO0285	NC_003888.3	276938	278827	+	1890	NA	0	46	50	22	10	0	0	45	20	0	37	12	0	0	4	105	25	4
SCO0286	NC_003888.3	278910	279416	-	507	NA	0	57	65	10	23	0	0	110	41	0	86	22	0	0	0	246	89	7
SCO0287	NC_003888.3	279691	280695	+	1005	NA	0	113	181	49	26	0	0	158	55	0	165	46	0	0	13	366	115	17
SCO0288	NC_003888.3	280692	281132	-	441	NA	0	0	8	0	0	0	0	4	1	0	7	2	0	0	0	8	1	5
SCO0289	NC_003888.3	281129	282157	-	1029	NA	0	54	54	12	6	0	0	45	26	0	55	20	0	0	3	85	37	3
SCO0290	NC_003888.3	282491	283801	+	1311	NA	0	7	7	2	1	0	0	4	3	0	6	3	0	0	0	22	8	0
SCO0291	NC_003888.3	283798	284700	+	903	NA	0	2	8	1	0	0	0	4	3	0	1	1	0	0	0	4	0	0
SCO0292	NC_003888.3	284702	285598	+	897	NA	0	2	2	0	2	0	0	0	0	0	0	0	0	0	2	7	1	0
SCO0293	NC_003888.3	285714	288104	+	2391	NA	0	1	5	1	0	0	0	0	2	0	1	1	0	0	0	5	1	0
SCO0294	NC_003888.3	288187	288840	-	654	NA	0	4	0	2	2	0	0	10	3	0	12	3	0	0	1	25	10	2
SCO0295	NC_003888.3	288987	290456	-	1470	NA	0	1	13	5	2	0	0	5	1	0	4	2	0	0	0	20	3	2
SCO0296	NC_003888.3	290584	291165	+	582	NA	0	15	29	6	6	0	0	24	8	0	10	5	0	0	6	27	5	6
SCO0297	NC_003888.3	291315	292592	+	1278	NA	0	153	796	130	142	0	0	338	116	0	1156	176	0	0	52	2066	806	36
SCO0298	NC_003888.3	292656	293519	-	864	NA	0	75	182	34	14	0	0	107	36	0	108	26	0	0	7	293	98	12
SCO0299	NC_003888.3	293613	294497	+	885	NA	0	5	1	2	0	0	0	3	2	0	4	1	0	0	0	17	3	0
SCO0300	NC_003888.3	294494	296305	-	1812	NA	0	37	38	26	12	0	0	43	10	0	72	14	0	0	3	193	58	4
SCO0301	NC_003888.3	296471	297499	+	1029	NA	0	10	17	2	4	0	0	10	3	0	5	5	0	0	1	20	9	0
SCO0302	NC_003888.3	297515	298108	-	594	NA	0	139	188	31	31	0	0	98	61	0	78	39	0	0	8	201	53	13
SCO0303	NC_003888.3	298105	298311	-	207	NA	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0
SCO0304	NC_003888.3	298468	298836	-	369	NA	0	9	15	5	5	0	0	20	6	0	8	3	0	0	0	27	6	0
SCO0305	NC_003888.3	299213	302092	+	2880	NA	0	338	515	184	132	0	0	544	230	0	797	172	0	0	32	1413	427	69
SCO0307	NC_003888.3	303084	303971	+	888	NA	0	28	22	6	0	0	0	22	11	0	25	12	0	0	1	30	18	1
SCO0308	NC_003888.3	304026	305429	+	1404	NA	0	48	91	22	19	0	0	65	38	0	77	22	0	0	1	166	34	14
SCO0309	NC_003888.3	305537	306625	-	1089	NA	0	0	13	0	1	0	0	1	1	0	4	2	0	0	0	8	0	0
SCO0310	NC_003888.3	306816	307466	-	651	NA	0	10	37	3	5	0	0	31	4	0	28	2	0	0	3	29	23	11
SCO0311	NC_003888.3	307575	309131	+	1557	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
SCO0312	NC_003888.3	309147	310316	+	1170	NA	0	2	4	4	0	0	0	4	0	0	1	2	0	0	0	2	1	0
SCO0313	NC_003888.3	310378	311727	+	1350	NA	0	0	3	0	5	0	0	0	3	0	3	0	0	0	0	3	3	0
SCO0314	NC_003888.3	311724	313670	+	1947	NA	0	3	5	2	0	0	0	4	3	0	5	0	0	0	0	16	9	0
SCO0315	NC_003888.3	313697	315055	-	1359	NA	0	210	456	119	60	0	0	259	94	0	265	102	0	0	23	317	228	29
SCO0316	NC_003888.3	315254	316921	-	1668	NA	0	4	14	1	0	0	0	3	0	0	3	0	0	0	0	9	1	4
SCO0317	NC_003888.3	316975	318237	-	1263	NA	0	10	10	6	2	0	0	9	4	0	7	8	0	0	1	48	7	0
SCO0318	NC_003888.3	318329	319345	-	1017	NA	0	4	1	0	0	0	0	4	0	0	4	1	0	0	0	12	1	0
SCO0319	NC_003888.3	319499	320008	-	510	NA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
SCO0320	NC_003888.3	320110	320583	+	474	NA	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
SCO0321	NC_003888.3	320699	322255	+	1557	NA	0	7	33	6	1	0	0	20	9	0	20	8	0	0	1	76	11	2
SCO0322	NC_003888.3	322244	323938	-	1695	NA	0	11	23	3	6	0	0	8	5	0	12	2	0	0	1	18	7	2
SCO0323	NC_003888.3	324467	325069	-	603	NA	0	66	141	36	18	0	0	101	48	0	128	32	0	0	13	340	69	17
SCO0324	NC_003888.3	325238	327616	-	2379	NA	0	1842	2674	738	334	0	0	1859	873	0	1716	710	0	0	112	5289	1145	182
SCO0325	NC_003888.3	327899	328264	+	366	NA	0	1	9	12	2	0	0	12	4	0	8	4	0	0	2	29	7	0
SCO0326	NC_003888.3	328333	329301	+	969	NA	0	19	25	2	1	0	0	20	11	0	6	6	0	0	4	28	10	1
SCO0329	NC_003888.3	330235	331365	+	1131	NA	23	40	35	10	12	35	2	63	13	35	44	5	30	25	3	119	28	3
SCO0330	NC_003888.3	331504	332253	+	750	fabG	6	0	3	0	0	1	0	0	0	0	2	0	1	1	0	7	0	0
SCO0331	NC_003888.3	332311	333210	+	900	NA	0	0	0	0	2	2	1	2	0	1	2	0	2	1	0	3	0	2
SCO0332	NC_003888.3	333529	334149	+	621	NA	9	11	10	2	5	11	7	10	7	14	12	3	15	14	1	33	13	4
SCO0333	NC_003888.3	334223	335734	-	1512	NA	4	3	2	1	0	7	2	1	0	0	4	0	6	6	0	1	1	0
SCO0334	NC_003888.3	335948	336292	+	345	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCO0335	NC_003888.3	336333	339467	+	3135	NA	5	2	6	1	3	7	2	6	8	2	3	2	11	2	0	7	2	0
SCO0336	NC_003888.3	339521	340630	-	1110	NA	0	1	2	3	0	0	0	0	0	1	0	0	4	1	0	0	0	0
SCO0337	NC_003888.3	340752	341318	+	567	NA	73	50	141	24	15	59	16	57	30	59	44	13	98	50	5	131	52	7
SCO0338	NC_003888.3	341370	341909	-	540	NA	0	1	4	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0
SCO0339	NC_003888.3	341992	342561	+	570	NA	0	0	0	0	0	0	1	4	1	0	0	0	5	0	0	2	0	0
SCO0340	NC_003888.3	342578	343165	-	588	NA	9	4	9	3	2	14	0	13	3	2	3	1	4	8	0	15	5	4
SCO0341	NC_003888.3	343234	345663	-	2430	NA	1	10	1	0	1	2	1	3	4	3	9	2	1	0	0	11	4	0
SCO0342	NC_003888.3	345817	347706	-	1890	NA	3	13	8	1	4	3	3	14	12	4	23	6	5	5	1	53	8	0
SCO0343	NC_003888.3	347814	348083	+	270	NA	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SCO0344	NC_003888.3	348137	349381	+	1245	NA	8	11	20	7	6	11	3	7	4	15	10	4	19	10	0	33	6	0
SCO0345	NC_003888.3	349419	350201	-	783	NA	12	8	17	1	1	9	8	8	2	12	8	6	35	6	2	31	4	1
SCO0346	NC_003888.3	350474	351352	+	879	NA	0	0	1	0	0	0	0	7	0	1	1	0	1	1	0	7	1	0
SCO0347	NC_003888.3	351529	352779	+	1251	NA	4	4	11	5	6	12	4	5	1	2	6	5	18	8	3	32	6	3
SCO0348	NC_003888.3	352776	353795	+	1020	NA	2	6	5	2	0	3	0	3	1	0	2	0	4	1	0	5	1	0
SCO0349	NC_003888.3	353801	354805	+	1005	NA	0	5	9	0	0	3	0	6	1	2	0	1	2	1	1	7	0	0
SCO0350	NC_003888.3	354802	355686	+	885	NA	1	0	3	0	0	0	0	1	0	3	0	0	5	0	0	1	0	0
SCO0351	NC_003888.3	355683	357158	+	1476	NA	3	3	3	2	0	2	1	14	0	6	4	3	7	2	0	9	1	0
SCO0352	NC_003888.3	357209	358477	+	1269	NA	11	25	31	4	6	9	5	11	7	10	24	3	23	16	0	56	20	2
SCO0353	NC_003888.3	358481	359392	+	912	NA	6	10	14	1	2	8	2	7	0	15	8	3	15	11	0	27	6	0
SCO0354	NC_003888.3	359389	360231	+	843	NA	4	6	21	2	4	11	4	12	0	9	12	1	9	2	1	35	6	2
SCO0355	NC_003888.3	360305	360646	+	342	NA	0	0	0	0	0	2	0	0	0	3	1	0	0	0	0	9	1	0
SCO0356	NC_003888.3	360674	361465	+	792	NA	1	0	1	0	0	0	0	2	0	2	1	0	1	0	0	3	0	0
SCO0357	NC_003888.3	361759	362478	-	720	NA	15	33	43	15	14	56	25	44	27	54	34	16	94	45	0	125	33	9
SCO0358	NC_003888.3	362635	363777	+	1143	NA	40	35	35	2	5	62	21	19	13	54	19	4	89	60	2	59	14	5
SCO0359	NC_003888.3	363774	364496	+	723	NA	20	6	2	2	4	21	3	10	3	37	3	3	24	21	0	24	5	0
SCO0360	NC_003888.3	364559	365551	-	993	NA	34	93	88	24	20	37	9	80	23	43	37	12	78	61	6	142	25	2
SCO0361	NC_003888.3	365623	366795	-	1173	NA	4	7	6	5	1	4	2	2	1	3	4	2	2	4	0	10	4	1
SCO0362	NC_003888.3	366935	368146	+	1212	NA	5	0	1	1	3	2	2	1	3	1	1	0	1	4	0	7	7	0
SCO0363	NC_003888.3	368143	369252	+	1110	NA	2	0	0	0	0	2	0	0	2	4	0	0	0	0	0	0	0	0
SCO0364	NC_003888.3	369249	370055	+	807	NA	0	0	1	0	0	4	0	1	0	1	0	0	2	0	0	0	1	0
SCO0365	NC_003888.3	370066	370812	+	747	NA	1	1	0	0	0	0	2	1	0	0	0	1	7	2	0	1	0	0
SCO0366	NC_003888.3	370809	371876	+	1068	NA	0	2	2	2	0	1	1	0	1	5	0	0	0	3	0	6	1	0
SCO0367	NC_003888.3	371921	372478	-	558	NA	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
SCO0368	NC_003888.3	373045	374001	+	957	NA	9.40	13.20	24.93	3.60	2.40	13.20	7.00	15.40	8.40	11.40	11.80	5.80	19.00	8.40	0.40	25.00	8.00	2.20
SCO0369	NC_003888.3	373998	377255	-	3258	NA	3	6	7	0	1	8	7	4	2	2	4	0	3	2	0	13	5	0
SCO0370	NC_003888.3	377286	380690	-	3405	NA	0	1	2	0	0	0	0	0	1	0	1	0	4	4	0	3	2	0
SCO0371	NC_003888.3	380751	383360	-	2610	NA	1	3	1	0	0	1	1	1	1	3	2	1	0	0	0	5	1	0
SCO0372	NC_003888.3	383578	386592	-	3015	NA	2	2	3	0	0	4	2	3	0	0	0	0	0	0	0	2	0	0
SCO0373	NC_003888.3	386761	387360	-	600	NA	19	33	44	1	7	36	17	21	2	14	12	3	40	19	3	48	18	2
SCO0374	NC_003888.3	387750	389519	+	1770	NA	71	501	458	220	169	370	198	563	274	205	1266	284	417	320	9	2670	513	31
SCO0375	NC_003888.3	389531	391123	-	1593	NA	4	20	29	1	2	6	2	6	1	6	11	5	10	7	1	10	2	0
SCO0376	NC_003888.3	391232	391834	+	603	NA	13	11	45	12	6	34	13	42	13	20	34	9	39	18	1	51	19	2
SCO0377	NC_003888.3	391950	392483	-	534	NA	0	1	0	0	0	0	0	0	1	0	2	0	0	4	0	3	1	0
SCO0378	NC_003888.3	392484	393218	-	735	NA	10	9	7	4	3	8	1	11	2	7	4	5	5	9	2	22	3	0
